listing_id,latitude,longitude,hover_description,listing_url,price,property_type,room_type,accommodates,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,reviews_per_month,host_id,host_name,host_identity_verified,host_listings_count,host_total_listings_count,license,neighbourhood,minimum_nights
3344,38.90145,-77.02679,"White House-Center City, entire 2BR/2BA Condo",https://www.airbnb.com/rooms/3344,150.0,Entire condo,Entire home/apt,2,9,0,0,2009-05-09,2016-08-31,5.0,0.05,4957,A.J.,False,2,4,,"NW-mid Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",59.0
3686,38.86339,-76.98889,Vita's Hideaway,https://www.airbnb.com/rooms/3686,61.0,Private room in home,Private room,1,83,0,0,2010-11-01,2023-08-30,4.65,0.46,4645,Vita,True,1,4,,SE Historic Anacostia,31.0
3943,38.91195,-77.00456,Historic Rowhouse Near Monuments,https://www.airbnb.com/rooms/3943,75.0,Private room in townhouse,Private room,2,549,39,0,2009-05-10,2025-08-22,4.86,2.75,5059,Vasa,True,5,5,Hosted License: 5007242201001033,"NE/NW Edgewood, Bloomingdale, Truxton Circle, Eckington",1.0
4197,38.88719,-76.99472,Capitol Hill Bedroom walk to Metro,https://www.airbnb.com/rooms/4197,90.0,Private room in home,Private room,1,67,5,0,2009-05-14,2025-05-20,4.88,0.34,5061,Sandra,True,2,2,Hosted License: 5007242201000749,"SE Capitol Hill, Lincoln Park",4.0
4529,38.90585,-76.94469,Bertina's  House Part One,https://www.airbnb.com/rooms/4529,65.0,Private room in home,Private room,2,101,0,0,2009-08-08,2019-07-05,4.65,0.51,5803,Bertina,True,4,4,Exempt,"NE Eastland Gardens, Kenilworth",30.0
893529,38.91223,-77.01067,Chic and in the City Room,https://www.airbnb.com/rooms/893529,115.0,Private room in home,Private room,1,1,0,0,2013-06-15,2013-06-15,0.0,0.01,4752493,Kristie,False,1,2,,"NE/NW Edgewood, Bloomingdale, Truxton Circle, Eckington",31.0
5589,38.91887,-77.04008,Cozy apt in Adams Morgan,https://www.airbnb.com/rooms/5589,145.0,Entire rental unit,Entire home/apt,3,94,0,0,2010-02-21,2023-08-17,4.5,0.5,6527,Amiel,True,2,4,,"NW-mid Kalorama Heights, Adams Morgan, Lanier Heights",60.0
11785,38.92622,-77.07591,Sanctuary near Cathedral,https://www.airbnb.com/rooms/11785,91.0,Entire rental unit,Entire home/apt,4,412,1,0,2010-01-31,2025-05-31,4.59,2.16,32015,Teresa,True,4,6,,"NW-far Cathedral Heights, McLean Gardens, Glover Park",31.0
12442,38.92756,-77.07667,Peaches & Cream near Cathedral,https://www.airbnb.com/rooms/12442,52.0,Private room in home,Private room,2,121,2,0,2010-03-12,2025-08-18,4.63,0.64,32015,Teresa,True,4,6,,"NW-far Cathedral Heights, McLean Gardens, Glover Park",31.0
13744,38.92836,-77.03136,"Heart of the City -HalfBlock to METRO, Restaurants",https://www.airbnb.com/rooms/13744,100.0,Entire rental unit,Entire home/apt,2,38,0,0,2010-04-11,2023-11-14,4.84,0.2,53927,Victoria,True,1,3,Hosted License: 5007242201000873,"NW-mid Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",30.0
14218,38.92668,-77.07686,Quiet Comfort near Nat'l Cathedral,https://www.airbnb.com/rooms/14218,52.0,Private room in home,Private room,2,106,1,0,2011-05-01,2025-02-28,4.62,0.6,32015,Teresa,True,4,6,,"NW-far Cathedral Heights, McLean Gardens, Glover Park",31.0
17131,38.92644,-77.07646,The Loft near National Cathedral,https://www.airbnb.com/rooms/17131,52.0,Private room in home,Private room,2,111,3,1,2010-03-24,2025-09-02,4.66,0.59,32015,Teresa,True,4,6,,"NW-far Cathedral Heights, McLean Gardens, Glover Park",31.0
27682,38.9665,-77.00645,Private 1-bed apartment-Walk to METRO,https://www.airbnb.com/rooms/27682,70.0,Entire home,Entire home/apt,1,12,1,0,2010-05-12,2025-05-03,5.0,0.06,36646,Ellen,True,2,2,,"NE/NW Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",90.0
32087,38.91766,-77.04598,Hotel in Dupont Circle Washington DC,https://www.airbnb.com/rooms/32087,134.0,Private room in bed and breakfast,Private room,1,16,1,0,2011-09-25,2024-09-25,4.87,0.09,138459,Lucia,True,16,18,Exempt,"NW-mid Kalorama Heights, Adams Morgan, Lanier Heights",1.0
